d,g50,g1M
10,-0.7791513732351748,-0.7791513732351748
10,-0.7810930817608054,-0.7810930817608054
10,-0.7881360604542228,-0.7881360604542228
10,-0.7481679734915374,-0.7481679734915374
10,-0.7759747231531028,-0.7759747231531028
10,-0.781805211416136,-0.781805211416136
10,-0.7513691073595475,-0.7513691073595475
10,-0.7616483422678935,-0.7616483422678935
10,-0.7229614655804937,-0.7229614655804937
10,-0.7050973075361018,-0.7050973075361018
10,-0.6971909674961705,-0.6971909674961705
10,-0.7057150810205551,-0.7057150810205551
10,-0.7016140987745664,-0.7016140987745664
10,-0.7307202295734975,-0.7307202295734975
10,-0.7411492022345983,-0.7411492022345983
10,-0.7297996133350348,-0.7297996133350348
10,-0.7668629356963234,-0.7668629356963234
10,-0.7636707326233882,-0.7636707326233882
10,-0.7609685699520712,-0.7609685699520712
10,-0.7514884027772484,-0.7514884027772484
10,-0.5046417884576229,-0.5046417884576229
10,-0.5003335486976542,-0.5003335486976542
10,-0.5008840620187014,-0.5008840620187014
10,-0.4926890979788993,-0.4926890979788993
10,-0.6935479456656379,-0.6935479456656379
10,-0.6902601301494591,-0.6902601301494591
10,-0.6885951606617013,-0.6885951606617013
10,-0.6838395385090956,-0.6838395385090956
10,-0.7025313363331178,-0.7025313363331178
10,-0.700173955952224,-0.700173955952224
10,-0.6997920158413427,-0.6997920158413427
10,-0.6928503834268327,-0.6928503834268327
10,-0.7502337708048824,-0.7502337708048824
10,-0.753709969665006,-0.753709969665006
10,-0.7582677758842084,-0.7582677758842084
10,-0.7616073042046382,-0.7616073042046382
10,-0.7688210647002949,-0.7688210647002949
10,-0.7539835228917326,-0.7539835228917326
10,-0.7136400579619975,-0.7136400579619975
10,-0.7159801711428705,-0.7159801711428705
10,-0.718205909343551,-0.718205909343551
10,-0.7225063571847605,-0.7225063571847605
10,-0.7356205476719532,-0.7356205476719532
10,-0.7138819919382458,-0.7138819919382458
10,-0.7094609428262727,-0.7094609428262727
10,-0.7128920427201718,-0.7128920427201718
10,-0.7149344414415068,-0.7149344414415068
10,-0.7159221641936266,-0.7159221641936266
10,-0.7497258619165029,-0.7497258619165029
10,-0.7086072182421772,-0.7086072182421772
10,-0.7194851259059493,-0.7194851259059493
10,-0.7216502620402373,-0.7216502620402373
10,-0.7235057791967728,-0.7235057791967728
10,-0.7253422218467532,-0.7253422218467532
10,-0.7476300874085303,-0.7476300874085303
10,-0.7196913283447524,-0.7196913283447524
10,-0.7074674081739842,-0.7074674081739842
10,-0.7101437367733321,-0.7101437367733321
10,-0.7116258155609325,-0.7116258155609325
10,-0.7131868649478079,-0.7131868649478079
10,-0.7341706877221683,-0.7341706877221683
10,-0.7093820688478368,-0.7093820688478368
10,-0.6129624230669081,-0.6129624230669081
10,-0.616001170417818,-0.616001170417818
10,-0.6142880031282202,-0.6142880031282202
10,-0.6196080633524457,-0.6196080633524457
10,-0.6399921789425624,-0.6399921789425624
10,-0.617911359504421,-0.617911359504421
10,-0.7570609905485083,-0.7570609905485083
10,-0.7585100349860666,-0.7585100349860666
10,-0.7697385579993158,-0.7697385579993158
10,-0.7606863054108902,-0.7606863054108902
10,-0.7568734474177639,-0.7568734474177639
10,-0.6065148160856303,-0.6065148160856303
10,-0.6090868587721394,-0.6090868587721394
10,-0.6204343700256203,-0.6204343700256203
10,-0.6191858007729554,-0.6191858007729554
10,-0.6120373433469234,-0.6120373433469234
10,-0.6252286416950754,-0.6252286416950754
10,-0.6255253029889138,-0.6255253029889138
10,-0.6347485948854545,-0.6347485948854545
10,-0.6320169577264731,-0.6320169577264731
10,-0.6212825598867242,-0.6212825598867242
10,-0.6450302645945217,-0.6450302645945217
10,-0.6433521173053266,-0.6433521173053266
10,-0.6551117562509345,-0.6551117562509345
10,-0.6484414889805227,-0.6484414889805227
10,-0.6403682496697172,-0.6403682496697172
10,-0.7388241040169469,-0.7388241040169469
10,-0.7372642389209497,-0.7372642389209497
10,-0.7476140957431924,-0.7476140957431924
10,-0.7378223699649905,-0.7378223699649905
10,-0.7324923141949237,-0.7324923141949237
10,-0.5217431797907424,-0.5217431797907424
10,-0.7425429790172516,-0.7425429790172516
10,-0.7491647869438471,-0.7491647869438471
10,-0.7478360466348621,-0.7478360466348621
10,-0.7498821023698009,-0.7498821023698009
10,-0.7563694370030029,-0.7563694370030029
10,-0.7467134376334024,-0.7467134376334024
10,-0.7221606381387053,-0.7221606381387053
10,-0.7282899903968605,-0.7282899903968605
10,-0.7265379341071204,-0.7265379341071204
10,-0.7271565105857103,-0.7271565105857103
10,-0.737935794703483,-0.737935794703483
10,-0.7238336943895569,-0.7238336943895569
10,-0.733885188402791,-0.733885188402791
10,-0.738803334643478,-0.738803334643478
10,-0.7380930067196376,-0.7380930067196376
10,-0.7394457003799078,-0.7394457003799078
10,-0.7438583816736706,-0.7438583816736706
10,-0.7372685027071785,-0.7372685027071785
10,-0.7292845410158196,-0.7292845410158196
10,-0.7340078179689722,-0.7340078179689722
10,-0.7330009390290226,-0.7330009390290226
10,-0.7335845809869262,-0.7335845809869262
10,-0.740104351404599,-0.740104351404599
10,-0.7315813795789838,-0.7315813795789838
10,-0.7660772594684603,-0.7660772594684603
10,-0.7646323970604231,-0.7646323970604231
10,-0.7603171996728099,-0.7603171996728099
10,-0.7674284374224514,-0.7674284374224514
10,-0.6920361424551386,-0.6920361424551386
10,-0.6938932757775763,-0.6938932757775763
10,-0.6914361301824794,-0.6914361301824794
10,-0.6996781471593584,-0.6996781471593584
10,-0.7626094104576476,-0.7626094104576476
10,-0.7648316846788126,-0.7648316846788126
10,-0.8048315420612798,-0.8048315420612798
10,-0.8056481836659617,-0.8056481836659617
10,-0.7393515437483871,-0.7393515437483871
10,-0.7764498828582027,-0.7764498828582027
10,-0.7737916283289109,-0.7737916283289109
10,-0.7763869950008586,-0.7763869950008586
10,-0.6872514341878146,-0.6872514341878146
10,-0.7558915216695036,-0.7558915216695036
10,-0.7543551529121282,-0.7543551529121282
10,-0.7561921756625751,-0.7561921756625751
10,-0.7368568511196747,-0.7368568511196747
10,-0.738460516027959,-0.738460516027959
10,-0.7337999432830214,-0.7337999432830214
10,-0.7401277347335176,-0.7401277347335176
10,-0.7831426085955542,-0.7831426085955542
10,-0.7799655709128173,-0.7799655709128173
10,-0.7563890411853081,-0.7563890411853081
10,-0.7489258661405631,-0.7489258661405631
10,-0.7518745680007743,-0.7518745680007743
10,-0.5499451436816801,-0.5499451436816801
10,-0.5475238274741371,-0.5475238274741371
10,-0.5423773279389703,-0.5423773279389703
10,-0.5403345518103913,-0.5403345518103913
