experiment_id,height,weight
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
2,175,66.6
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,160,54.35
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,169,51.4
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,179,95.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
1,180,76.05
